,ID,Commands,Label,seq_out
13,14,meet michael at the dining table and follow him to the living room,"[('B-find', 0), ('B-find.dest', 5), ('B-find.dest', 4), ('I-find.dest', 5), ('B-find.per', 1), ('B-follow', 7), ('B-follow.per', 8), ('B-follow.dest', 12), ('B-follow.dest', 11), ('I-follow.dest', 12)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'I-find.dest', 'O', 'B-follow', 'B-follow.per', 'O', 'O', 'B-follow.dest', 'I-follow.dest']"
14,15,follow michael from the bookcase to the bedroom,"[('B-follow', 0), ('B-follow.dest', 7), ('B-follow.dest', 4), ('B-follow.per', 1)]","['B-follow', 'B-follow.per', 'O', 'O', 'B-follow.dest', 'O', 'O', 'B-follow.dest']"
15,16,take out the garbage,"[('B-take', 0)]","['B-take', 'O', 'O', 'O']"
16,17,meet robin at the bookcase and follow her,"[('B-find', 0), ('B-find.per', 1), ('B-find.dest', 4), ('B-follow', 6), ('B-follow.per', 7)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'O', 'B-follow', 'B-follow.per']"
17,18,locate three cleaning stuff in the dining room,"[('B-find', 0), ('B-find.dest', 7), ('B-find.dest', 6), ('I-find.dest', 7)]","['B-find', 'O', 'O', 'O', 'O', 'O', 'B-find.dest', 'I-find.dest']"
18,19,could you please follow robin from the exit to the living room,"[('B-follow', 3), ('B-follow.dest', 7), ('B-follow.dest', 11), ('B-follow.dest', 10), ('I-follow.dest', 11), ('B-follow.per', 4)]","['O', 'O', 'O', 'B-follow', 'B-follow.per', 'O', 'O', 'B-follow.dest', 'O', 'O', 'B-follow.dest', 'I-follow.dest']"
19,20,could you locate a boy in the dining room and say the time,"[('B-find', 2), ('B-find.dest', 8), ('B-find.dest', 7), ('I-find.dest', 8), ('B-say', 10)]","['O', 'O', 'B-find', 'O', 'O', 'O', 'O', 'B-find.dest', 'I-find.dest', 'O', 'B-say', 'O', 'O']"
20,21,give me the dish,"[('B-take', 0), ('B-take.per', 1), ('B-take.obj', 3)]","['B-take', 'B-take.per', 'O', 'B-take.obj']"
21,22,follow linda,"[('B-follow', 0), ('B-follow.per', 1)]","['B-follow', 'B-follow.per']"
22,23,could you please follow robin from the entrance to the corridor,"[('B-follow', 3), ('B-follow.per', 4), ('B-follow.dest', 7), ('B-follow.dest', 10)]","['O', 'O', 'O', 'B-follow', 'B-follow.per', 'O', 'O', 'B-follow.dest', 'O', 'O', 'B-follow.dest']"
23,24,please deliver drinks to the person raising their right arm in the corridor,"[('B-take', 1), ('B-take.obj', 2), ('B-take.dest', 12)]","['O', 'B-take', 'B-take.obj', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-take.dest']"
24,25,take the bowl to the dining table,"[('B-take', 0), ('B-take.obj', 2), ('B-take.dest', 6), ('B-take.dest', 5), ('I-take.dest', 6)]","['B-take', 'O', 'B-take.obj', 'O', 'O', 'B-take.dest', 'I-take.dest']"
25,26,could you meet francis at the couch and guide her to the desk,"[('B-find', 2), ('B-find.dest', 6), ('B-find.per', 3), ('B-take', 8), ('B-take.per', 9), ('B-take.dest', 12)]","['O', 'O', 'B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'O', 'B-take', 'B-take.per', 'O', 'O', 'B-take.dest']"
26,27,bring my valise to the taxi,"[('B-take', 0)]","['B-take', 'O', 'O', 'O', 'O', 'O']"
27,28,please take the sponge from the counter and place it on the desk,"[('B-take', 1), ('B-take.obj', 3), ('B-take.dest', 6), ('B-put', 8), ('B-put.obj', 9), ('B-put.dest', 12)]","['O', 'B-take', 'O', 'B-take.obj', 'O', 'O', 'B-take.dest', 'O', 'B-put', 'B-put.obj', 'O', 'O', 'B-put.dest']"
28,29,take the bowl and put it on the side table,"[('B-take', 0), ('B-take.obj', 2), ('B-take', 4), ('B-take.obj', 5), ('B-take.dest', 9), ('B-take.dest', 8), ('I-take.dest', 9)]","['B-take', 'O', 'B-take.obj', 'O', 'B-take', 'B-take.obj', 'O', 'O', 'B-take.dest', 'I-take.dest']"
29,30,go to the desk meet patricia and follow her,"[('B-go', 0), ('B-go.dest', 3), ('B-find', 4), ('B-find.per', 5), ('B-follow', 7), ('B-follow.per', 8)]","['B-go', 'O', 'O', 'B-go.dest', 'B-find', 'B-find.per', 'O', 'B-follow', 'B-follow.per']"
30,31,go to the end table meet michael and guide him,"[('B-go', 0), ('B-go.dest', 4), ('B-go.dest', 3), ('I-go.dest', 4), ('B-find', 5), ('B-find.per', 6), ('B-take', 8), ('B-take.per', 9)]","['B-go', 'O', 'O', 'B-go.dest', 'I-go.dest', 'B-find', 'B-find.per', 'O', 'B-take', 'B-take.per']"
31,32,please bring fruits to the person raising their right arm in the bedroom,"[('B-take', 1), ('B-take.dest', 12)]","['O', 'B-take', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-take.dest']"
32,33,could you take the tray from the end table and deliver it to william at the dining table,"[('B-take', 2), ('B-take.obj', 4), ('B-take.dest', 8), ('B-take.dest', 7), ('I-take.dest', 8), ('B-take', 10), ('B-take.obj', 11), ('B-take.dest', 17), ('B-take.dest', 16), ('I-take.dest', 17), ('B-take.per', 13)]","['O', 'O', 'B-take', 'O', 'B-take.obj', 'O', 'O', 'B-take.dest', 'I-take.dest', 'O', 'B-take', 'B-take.obj', 'O', 'B-take.per', 'O', 'O', 'B-take.dest', 'I-take.dest']"
33,34,give cleaning stuff to me,"[('B-take', 0), ('B-take.per', 4)]","['B-take', 'O', 'O', 'O', 'B-take.per']"
34,35,could you please accompany alex from the bed to the exit,"[('B-take', 3), ('B-take.dest', 7), ('B-take.dest', 10), ('B-take.per', 4)]","['O', 'O', 'O', 'B-take', 'B-take.per', 'O', 'O', 'B-take.dest', 'O', 'O', 'B-take.dest']"
35,36,please navigate to the dining table meet robert and escort him to the exit,"[('B-go', 1), ('B-go.dest', 5), ('B-go.dest', 4), ('I-go.dest', 5), ('B-find', 6), ('B-find.per', 7), ('B-take', 9), ('B-take.per', 10), ('B-take.dest', 13)]","['O', 'B-go', 'O', 'O', 'B-go.dest', 'I-go.dest', 'B-find', 'B-find.per', 'O', 'B-take', 'B-take.per', 'O', 'O', 'B-take.dest']"
36,37,tell me what s the heaviest object on the dining table,"[('B-say', 0), ('B-say.per', 1), ('B-say.dest', 10), ('B-say.dest', 9), ('I-say.dest', 10)]","['B-say', 'B-say.per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-say.dest', 'I-say.dest']"
37,38,navigate to the cupboard find the paprika and place it on the sink,"[('B-go', 0), ('B-go.dest', 3), ('B-find', 4), ('B-find.obj', 6), ('B-put', 8), ('B-put.obj', 9), ('B-put.dest', 12)]","['B-go', 'O', 'O', 'B-go.dest', 'B-find', 'O', 'B-find.obj', 'O', 'B-put', 'B-put.obj', 'O', 'O', 'B-put.dest']"
38,39,could you navigate to the bookcase look for the tray and deliver it to francis at the bed,"[('B-go', 2), ('B-go.dest', 5), ('B-find', 6), ('B-find.obj', 9), ('B-take', 11), ('B-take.obj', 12), ('B-take.dest', 17), ('B-take.per', 14)]","['O', 'O', 'B-go', 'O', 'O', 'B-go.dest', 'B-find', 'O', 'O', 'B-find.obj', 'O', 'B-take', 'B-take.obj', 'O', 'B-take.per', 'O', 'O', 'B-take.dest']"
39,40,meet francis at the end table and follow her to the corridor,"[('B-find', 0), ('B-find.dest', 5), ('B-find.dest', 4), ('I-find.dest', 5), ('B-find.per', 1), ('B-follow', 7), ('B-follow.per', 8), ('B-follow.dest', 11)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'I-find.dest', 'O', 'B-follow', 'B-follow.per', 'O', 'O', 'B-follow.dest']"
40,41,could you tell me what s the largest food on the counter,"[('B-say', 2), ('B-say.per', 3), ('B-say.obj', 8), ('B-say.dest', 11)]","['O', 'O', 'B-say', 'B-say.per', 'O', 'O', 'O', 'O', 'B-say.obj', 'O', 'O', 'B-say.dest']"
41,42,give me the cutlery,"[('B-take', 0), ('B-take.per', 1), ('B-take.obj', 3)]","['B-take', 'B-take.per', 'O', 'B-take.obj']"
42,43,please take the apple from the dining room to the bookcase,"[('B-take', 1), ('B-take.dest', 7), ('B-take.dest', 10), ('B-take.dest', 6), ('I-take.dest', 7), ('B-take.obj', 3)]","['O', 'B-take', 'O', 'B-take.obj', 'O', 'O', 'B-take.dest', 'I-take.dest', 'O', 'O', 'B-take.dest']"
43,44,please meet william at the end table follow him and lead him back,"[('B-find', 1), ('B-find.dest', 6), ('B-find.dest', 5), ('I-find.dest', 6), ('B-find.per', 2), ('B-follow', 7), ('B-follow.per', 8), ('B-take', 10), ('B-take.per', 11)]","['O', 'B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'I-find.dest', 'B-follow', 'B-follow.per', 'O', 'B-take', 'B-take.per', 'O']"
44,45,please arrange drinks to all the children in the bedroom,"[('B-take', 1), ('B-take.obj', 2), ('B-take.dest', 9)]","['O', 'B-take', 'B-take.obj', 'O', 'O', 'O', 'O', 'O', 'O', 'B-take.dest']"
45,46,find robert at the bookcase and ask him to leave,"[('B-find', 0), ('B-find.per', 1), ('B-find.dest', 4), ('B-say', 6), ('B-say.per', 7)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'O', 'B-say', 'B-say.per', 'O', 'O']"
46,47,tell me what s the thinnest object on the side table,"[('B-say', 0), ('B-say.per', 1), ('B-say.dest', 10), ('B-say.dest', 9), ('I-say.dest', 10)]","['B-say', 'B-say.per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-say.dest', 'I-say.dest']"
47,48,navigate to the bed meet william and follow him,"[('B-go', 0), ('B-go.dest', 3), ('B-find', 4), ('B-find.per', 5), ('B-follow', 7), ('B-follow.per', 8)]","['B-go', 'O', 'O', 'B-go.dest', 'B-find', 'B-find.per', 'O', 'B-follow', 'B-follow.per']"
48,49,robot please meet francis at the exit follow him and accompany him back,"[('B-find', 2), ('B-find.dest', 6), ('B-find.per', 3), ('B-follow', 7), ('B-follow.per', 8), ('B-take', 10), ('B-take.per', 11)]","['O', 'O', 'B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'B-follow', 'B-follow.per', 'O', 'B-take', 'B-take.per', 'O']"
49,50,pick up the cloth and place it on the storage table,"[('B-take', 0), ('B-take.obj', 3), ('B-put', 5), ('B-put.obj', 6), ('B-put.dest', 10), ('B-put.dest', 9), ('I-put.dest', 10)]","['B-take', 'O', 'O', 'B-take.obj', 'O', 'B-put', 'B-put.obj', 'O', 'O', 'B-put.dest', 'I-put.dest']"
50,51,robot please give cutlery to me,"[('B-take', 2), ('B-take.per', 5), ('B-take.obj', 3)]","['O', 'O', 'B-take', 'B-take.obj', 'O', 'B-take.per']"
51,52,meet charlie at the end table and follow him to the kitchen,"[('B-find', 0), ('B-find.dest', 5), ('B-find.dest', 4), ('I-find.dest', 5), ('B-find.per', 1), ('B-follow', 7), ('B-follow.per', 8), ('B-follow.dest', 11)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'I-find.dest', 'O', 'B-follow', 'B-follow.per', 'O', 'O', 'B-follow.dest']"
52,53,robot please meet william at the end table and follow him to the dining room,"[('B-find', 2), ('B-find.dest', 7), ('B-find.dest', 6), ('I-find.dest', 7), ('B-find.per', 3), ('B-follow', 9), ('B-follow.per', 10), ('B-follow.dest', 14), ('B-follow.dest', 13), ('I-follow.dest', 14)]","['O', 'O', 'B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'I-find.dest', 'O', 'B-follow', 'B-follow.per', 'O', 'O', 'B-follow.dest', 'I-follow.dest']"
53,54,could you go to the side table locate the cloth and give it to me,"[('B-go', 2), ('B-go.dest', 6), ('B-go.dest', 5), ('I-go.dest', 6), ('B-find', 7), ('B-find.obj', 9), ('B-take', 11), ('B-take.obj', 12), ('B-take.per', 14)]","['O', 'O', 'B-go', 'O', 'O', 'B-go.dest', 'I-go.dest', 'B-find', 'O', 'B-find.obj', 'O', 'B-take', 'B-take.obj', 'O', 'B-take.per']"
54,55,meet patricia at the exit and follow her to the living room,"[('B-find', 0), ('B-find.dest', 4), ('B-find.per', 1), ('B-follow', 6), ('B-follow.per', 7), ('B-follow.dest', 11), ('B-follow.dest', 10), ('I-follow.dest', 11)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'O', 'B-follow', 'B-follow.per', 'O', 'O', 'B-follow.dest', 'I-follow.dest']"
55,56,could you please go to the dining table meet robin and guide him to the entrance,"[('B-go', 3), ('B-go.dest', 7), ('B-go.dest', 6), ('I-go.dest', 7), ('B-find', 8), ('B-find.per', 9), ('B-take', 11), ('B-take.per', 12), ('B-take.dest', 15)]","['O', 'O', 'O', 'B-go', 'O', 'O', 'B-go.dest', 'I-go.dest', 'B-find', 'B-find.per', 'O', 'B-take', 'B-take.per', 'O', 'O', 'B-take.dest']"
56,57,contact jennifer at the sink and introduce it to patricia at the sink,"[('B-find', 0), ('B-find.dest', 4), ('B-find.per', 1), ('B-say', 6), ('B-say.obj', 7), ('B-say.dest', 12), ('B-say.per', 9)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'O', 'B-say', 'B-say.obj', 'O', 'B-say.per', 'O', 'O', 'B-say.dest']"
57,58,could you follow skyler from the desk to the bedroom,"[('B-follow', 2), ('B-follow.dest', 6), ('B-follow.dest', 9), ('B-follow.per', 3)]","['O', 'O', 'B-follow', 'B-follow.per', 'O', 'O', 'B-follow.dest', 'O', 'O', 'B-follow.dest']"
58,59,could you please look for a boy in the dining room and say the time,"[('B-find', 3), ('B-find.dest', 10), ('B-find.dest', 9), ('I-find.dest', 10), ('B-say', 12)]","['O', 'O', 'O', 'B-find', 'O', 'O', 'O', 'O', 'O', 'B-find.dest', 'I-find.dest', 'O', 'B-say', 'O', 'O']"
59,60,the bedroom,[],"['O', 'O']"
60,61,could you contact patricia at the couch and introduce it to mary at the exit,"[('B-find', 2), ('B-find.dest', 6), ('B-find.per', 3), ('B-say', 8), ('B-say.obj', 9), ('B-say.dest', 14), ('B-say.per', 11)]","['O', 'O', 'B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'O', 'B-say', 'B-say.obj', 'O', 'B-say.per', 'O', 'O', 'B-say.dest']"
61,62,go to the storage table locate the paprika and deliver it to me,"[('B-go', 0), ('B-go.dest', 4), ('B-go.dest', 3), ('I-go.dest', 4), ('B-find', 5), ('B-find.obj', 7), ('B-take', 9), ('B-take.obj', 10), ('B-take.per', 12)]","['B-go', 'O', 'O', 'B-go.dest', 'I-go.dest', 'B-find', 'O', 'B-find.obj', 'O', 'B-take', 'B-take.obj', 'O', 'B-take.per']"
62,63,could you go to the exit meet james and guide him to the dishwasher,"[('B-go', 2), ('B-go.dest', 5), ('B-find', 6), ('B-find.per', 7), ('B-take', 9), ('B-take.per', 10), ('B-take.dest', 13)]","['O', 'O', 'B-go', 'O', 'O', 'B-go.dest', 'B-find', 'B-find.per', 'O', 'B-take', 'B-take.per', 'O', 'O', 'B-take.dest']"
63,64,could you dump the debris,"[('B-put', 2)]","['O', 'O', 'B-put', 'O', 'O']"
64,65,follow alex from the entrance to the bedroom,"[('B-follow', 0), ('B-follow.per', 1), ('B-follow.dest', 7), ('B-follow.dest', 4)]","['B-follow', 'B-follow.per', 'O', 'O', 'B-follow.dest', 'O', 'O', 'B-follow.dest']"
65,66,give me the paprika from the storage table,"[('B-take', 0), ('B-take.per', 1), ('B-take.dest', 7), ('B-take.dest', 6), ('I-take.dest', 7), ('B-take.obj', 3)]","['B-take', 'B-take.per', 'O', 'B-take.obj', 'O', 'O', 'B-take.dest', 'I-take.dest']"
66,67,please tell me how many containers there are on the bookcase,"[('B-say', 1), ('B-say.per', 2), ('B-say.dest', 10), ('B-say.obj', 5)]","['O', 'B-say', 'B-say.per', 'O', 'O', 'B-say.obj', 'O', 'O', 'O', 'O', 'B-say.dest']"
67,68,bring my valise to the taxi,"[('B-take', 0)]","['B-take', 'O', 'O', 'O', 'O', 'O']"
68,69,say the time to the person raising their right arm in the bedroom,"[('B-say', 0), ('B-say.dest', 12)]","['B-say', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-say.dest']"
69,70,meet james at the entrance follow him and go to the kitchen,"[('B-find', 0), ('B-find.per', 1), ('B-find.dest', 4), ('B-follow', 5), ('B-follow.per', 6), ('B-go', 8), ('B-go.dest', 11)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'B-follow', 'B-follow.per', 'O', 'B-go', 'O', 'O', 'B-go.dest']"
70,71,please serve snacks to all the elders in the dining room,"[('B-take', 1), ('B-take.dest', 10), ('B-take.dest', 9), ('I-take.dest', 10), ('B-take.obj', 2)]","['O', 'B-take', 'B-take.obj', 'O', 'O', 'O', 'O', 'O', 'O', 'B-take.dest', 'I-take.dest']"
71,72,please escort francis from the entrance to the exit,"[('B-take', 1), ('B-take.dest', 8), ('B-take.dest', 5), ('B-take.per', 2)]","['O', 'B-take', 'B-take.per', 'O', 'O', 'B-take.dest', 'O', 'O', 'B-take.dest']"
72,73,meet skyler at the sink follow him and go to the dining room,"[('B-find', 0), ('B-find.dest', 4), ('B-find.per', 1), ('B-follow', 5), ('B-follow.per', 6), ('B-go', 8), ('B-go.dest', 12), ('B-go.dest', 11), ('I-go.dest', 12)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'B-follow', 'B-follow.per', 'O', 'B-go', 'O', 'O', 'B-go.dest', 'I-go.dest']"
73,74,accompany linda from the dining table to the dishwasher,"[('B-take', 0), ('B-take.dest', 5), ('B-take.dest', 8), ('B-take.dest', 4), ('I-take.dest', 5), ('B-take.per', 1)]","['B-take', 'B-take.per', 'O', 'O', 'B-take.dest', 'I-take.dest', 'O', 'O', 'B-take.dest']"
74,75,meet elizabeth at the sink follow her and navigate to the kitchen,"[('B-find', 0), ('B-find.dest', 4), ('B-find.per', 1), ('B-follow', 5), ('B-follow.per', 6), ('B-go', 8), ('B-go.dest', 11)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'B-follow', 'B-follow.per', 'O', 'B-go', 'O', 'O', 'B-go.dest']"
75,76,please take the bowl to the storage table,"[('B-take', 1), ('B-take.obj', 3), ('B-take.dest', 7), ('B-take.dest', 6), ('I-take.dest', 7)]","['O', 'B-take', 'O', 'B-take.obj', 'O', 'O', 'B-take.dest', 'I-take.dest']"
76,77,the living room,[],"['O', 'O', 'O']"
77,78,bring the cascade pod to the side table,"[('B-take', 0), ('B-take.dest', 7), ('B-take.dest', 6), ('I-take.dest', 7), ('B-take.obj', 2), ('I-take.obj', 3)]","['B-take', 'O', 'B-take.obj', 'I-take.obj', 'O', 'O', 'B-take.dest', 'I-take.dest']"
78,79,look for the fruits in the kitchen,"[('B-find', 0), ('B-find.dest', 6)]","['B-find', 'O', 'O', 'O', 'O', 'O', 'B-find.dest']"
79,80,meet james at the entrance follow him and navigate to the bedroom,"[('B-find', 0), ('B-find.per', 1), ('B-find.dest', 4), ('B-follow', 5), ('B-follow.per', 6), ('B-go', 8), ('B-go.dest', 11)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'B-follow', 'B-follow.per', 'O', 'B-go', 'O', 'O', 'B-go.dest']"
80,81,meet alex at the couch and guide her to the end table,"[('B-find', 0), ('B-find.per', 1), ('B-find.dest', 4), ('B-take', 6), ('B-take.per', 7), ('B-take.dest', 11), ('B-take.dest', 10), ('I-take.dest', 11)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'O', 'B-take', 'B-take.per', 'O', 'O', 'B-take.dest', 'I-take.dest']"
81,82,robot please face charlie at the bookcase and ask her to leave,"[('B-find', 2), ('B-find.per', 3), ('B-find.dest', 6), ('B-say', 8), ('B-say.per', 9)]","['O', 'O', 'B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'O', 'B-say', 'B-say.per', 'O', 'O']"
82,83,could you please give me the apple from the side table,"[('B-take', 3), ('B-take.per', 4), ('B-take.obj', 6), ('B-take.dest', 10), ('B-take.dest', 9), ('I-take.dest', 10)]","['O', 'O', 'O', 'B-take', 'B-take.per', 'O', 'B-take.obj', 'O', 'O', 'B-take.dest', 'I-take.dest']"
83,84,tell me how many people in the dining room are lying down,"[('B-say', 0), ('B-say.per', 1), ('B-say.dest', 8), ('B-say.dest', 7), ('I-say.dest', 8)]","['B-say', 'B-say.per', 'O', 'O', 'O', 'O', 'O', 'B-say.dest', 'I-say.dest', 'O', 'O', 'O']"
84,85,could you give me the thinnest object from the counter,"[('B-take', 2), ('B-take.per', 3), ('B-take.dest', 9)]","['O', 'O', 'B-take', 'B-take.per', 'O', 'O', 'O', 'O', 'O', 'B-take.dest']"
85,86,robot please bring my trolley to the uber,"[('B-take', 2)]","['O', 'O', 'B-take', 'O', 'O', 'O', 'O', 'O']"
86,87,find the fruits in the living room,"[('B-find', 0), ('B-find.dest', 6), ('B-find.dest', 5), ('I-find.dest', 6)]","['B-find', 'O', 'O', 'O', 'O', 'B-find.dest', 'I-find.dest']"
87,88,robot please meet john at the bookcase follow him and accompany him back,"[('B-find', 2), ('B-find.per', 3), ('B-find.dest', 6), ('B-follow', 7), ('B-follow.per', 8), ('B-take', 10), ('B-take.per', 11)]","['O', 'O', 'B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'B-follow', 'B-follow.per', 'O', 'B-take', 'B-take.per', 'O']"
88,89,contact james at the couch and take him to his taxi,"[('B-find', 0), ('B-find.dest', 4), ('B-find.per', 1), ('B-take', 6), ('B-take.per', 7)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'O', 'B-take', 'B-take.per', 'O', 'O', 'O']"
89,90,could you please find three cleaning stuff in the bedroom,"[('B-find', 3), ('B-find.dest', 9)]","['O', 'O', 'O', 'B-find', 'O', 'O', 'O', 'O', 'O', 'B-find.dest']"
90,91,find francis at the bed and escort her to her taxi,"[('B-find', 0), ('B-find.dest', 4), ('B-find.per', 1), ('B-take', 6), ('B-take.per', 7)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'O', 'B-take', 'B-take.per', 'O', 'O', 'O']"
91,92,tell me the pose of the person in the corridor,"[('B-say', 0), ('B-say.per', 1), ('B-say.dest', 9)]","['B-say', 'B-say.per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-say.dest']"
92,93,look for the containers in the kitchen,"[('B-find', 0), ('B-find.dest', 6), ('B-find.obj', 3)]","['B-find', 'O', 'O', 'B-find.obj', 'O', 'O', 'B-find.dest']"
93,94,greet skyler at the end table and introduce it to robin at the exit,"[('B-find', 0), ('B-find.dest', 5), ('B-find.dest', 4), ('I-find.dest', 5), ('B-find.per', 1), ('B-say', 7), ('B-say.obj', 8), ('B-say.dest', 13), ('B-say.per', 10)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'I-find.dest', 'O', 'B-say', 'B-say.obj', 'O', 'B-say.per', 'O', 'O', 'B-say.dest']"
94,95,accompany robin to the bed,"[('B-take', 0), ('B-take.dest', 4), ('B-take.per', 1)]","['B-take', 'B-take.per', 'O', 'O', 'B-take.dest']"
