ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
 ,O,O,B-find,B-find.per,O,O,B-find.dest,O,B-say,B-say.obj,O,B-say.per,O,O,B-say.dest, , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , 
10,please,tell,me,how,many,containers,there,are,on,the,bookcase, , , , , , , , 
 ,O,B-say,B-say.per,O,O,B-say.obj,O,O,O,O,B-say.dest, , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , 
11,say,the,time,to,the,person,raising,their,right,arm,in,the,bedroom, , , , , , 
 ,B-say,O,O,O,O,B-say.per,O,O,O,O,O,O,B-say.dest, , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , 
12,robot,please,face,charlie,at,the,bookcase,and,ask,her,to,leave, , , , , , , 
 ,O,O,B-find,B-find.per,O,O,B-find.dest,O,B-say,B-say.per,O,O, , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , 
13,tell,me,how,many,people,in,the,dining,room,are,lying,down, , , , , , , 
 ,B-say,B-say.per,O,O,O,O,O,B-say.dest,I-say.dest,O,O,O, , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , 
14,tell,me,the,pose,of,the,person,in,the,corridor, , , , , , , , , 
 ,B-say,B-say.per,O,O,O,O,B-say.per,O,O,B-say.dest, , , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , , 
15,greet,skyler,at,the,end,table,and,introduce,it,to,robin,at,the,exit, , , , , 
 ,B-find,B-find.per,O,O,B-find.dest,I-find.dest,O,B-say,B-say.obj,O,B-say.per,O,O,B-say.dest, , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , 
16,tell,me,what,s,the,largest,object,on,the,desk, , , , , , , , , 
 ,B-say,B-say.per,O,O,O,O,O,O,O,B-say.dest, , , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , , 
17,could,you,please,tell,me,which,are,the,three,largest,objects,on,the,end,table, , , , 
 ,O,O,O,B-say,B-say.per,O,O,O,O,O,O,O,O,B-say.dest,I-say.dest, , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , 
18,tell,me,how,many,people,in,the,corridor,are,standing, , , , , , , , , 
 ,B-say,B-say.per,O,O,O,O,O,B-say.dest,O,O, , , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , , 
19,robot,please,tell,me,how,many,orange,there,are,on,the,bookcase, , , , , , , 
 ,O,O,B-say,B-say.per,O,O,B-say.obj,O,O,O,O,B-say.dest, , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , 
20,robot,please,navigate,to,the,bedroom,locate,a,person,raising,their,left,arm,and,answer,a,question, , 
 ,O,O,B-go,O,O,B-go.dest,B-find,O,B-find.per,O,O,O,O,O,B-say,O,O, , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , 
21,go,to,the,dining,room,look,for,a,person,waving,and,answer,a,question, , , , , 
 ,B-go,O,O,B-go.dest,I-go.dest,B-find,O,O,B-find.per,O,O,B-say,O,O, , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , 
22,robot,please,find,francis,at,the,front,door,and,introduce,her,to,all,the,women,in,the,dining,room
 ,O,O,B-find,B-find.per,O,O,B-find.dest,I-find.dest,O,B-say,B-say.per,O,O,O,O,O,O,B-say.dest,I-say.dest
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
23,could,you,please,tell,me,the,pose,of,the,person,in,the,living,room, , , , , 
 ,O,O,O,B-say,B-say.per,O,O,O,O,B-say.per,O,O,B-say.dest,I-say.dest, , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , 
24,tell,me,which,are,the,three,heaviest,objects,on,the,storage,table, , , , , , , 
 ,B-say,B-say.per,O,O,O,O,O,O,O,O,B-say.dest,I-say.dest, , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , 
25,tell,me,the,gender,of,the,person,in,the,living,room, , , , , , , , 
 ,B-say,B-say.per,O,O,O,O,B-say.per,O,O,B-say.dest,I-say.dest, , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , 
26,find,a,male,person,in,the,corridor,and,answer,a,question, , , , , , , , 
 ,B-find,O,O,B-find.per,O,O,B-find.dest,O,B-say,O,O, , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , 
27,could,you,tell,me,how,many,people,in,the,dining,room,are,lying,down, , , , , 
 ,O,O,B-say,B-say.per,O,O,O,O,O,B-say.dest,I-say.dest,O,O,O, , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , 
28,find,john,at,the,rear,entrance,and,introduce,him,to,all,the,elders,in,the,dining,room, , 
 ,B-find,B-find.per,O,O,O,B-find.dest,O,B-say,B-say.per,O,O,O,B-say.per,O,O,B-say.dest,I-say.dest, , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , 
29,please,greet,william,at,the,dishwasher,and,ask,him,to,leave, , , , , , , , 
 ,O,B-find,B-find.per,O,O,B-find.dest,O,B-say,B-say.per,O,O, , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , 
30,locate,a,female,person,in,the,kitchen,and,tell,the,time, , , , , , , , 
 ,B-find,O,O,B-find.per,O,O,B-find.dest,O,B-say,O,O, , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , 
31,tell,me,the,name,of,the,person,at,the,bed, , , , , , , , , 
 ,B-say,B-say.per,O,O,O,O,B-say.per,O,O,B-say.dest, , , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , , 
32,please,tell,me,how,many,fruits,there,are,on,the,sink, , , , , , , , 
 ,O,B-say,B-say.per,O,O,B-say.obj,O,O,O,O,B-say.dest, , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , 
33,find,charlie,at,the,dining,table,and,introduce,it,to,jennifer,at,the,sink, , , , , 
 ,B-find,B-find.per,O,O,B-find.dest,I-find.dest,O,B-say,B-say.obj,O,B-say.per,O,O,B-say.dest, , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , 
34,tell,me,the,gender,of,the,person,in,the,dining,room, , , , , , , , 
 ,B-say,B-say.per,O,O,O,O,B-say.per,O,O,B-say.dest,I-say.dest, , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , 
35,could,you,face,skyler,at,the,main,door,and,introduce,him,to,everyone,in,the,kitchen, , , 
 ,O,O,B-find,B-find.per,O,O,O,B-find.dest,O,B-say,B-say.per,O,O,O,O,B-say.dest, , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , 
36,could,you,please,contact,skyler,at,the,main,door,and,introduce,her,to,all,the,elders,in,the,bedroom
 ,O,O,O,B-find,B-find.per,O,O,O,B-find.dest,O,B-say,B-say.per,O,O,O,B-say.per,O,O,B-say.dest
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
37,could,you,tell,me,how,many,snacks,there,are,on,the,side,table, , , , , , 
 ,O,O,B-say,B-say.per,O,O,B-say.obj,O,O,O,O,B-say.dest,I-say.dest, , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , 
38,could,you,tell,me,how,many,people,in,the,living,room,are,male, , , , , , 
 ,O,O,B-say,B-say.per,O,O,O,O,O,B-say.dest,I-say.dest,O,O, , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , 
39,please,look,for,a,woman,in,the,bedroom,and,answer,a,question, , , , , , , 
 ,O,B-find,O,O,O,O,O,B-find.dest,O,B-say,O,O, , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , 
40,contact,charlie,at,the,dining,table,and,ask,him,to,leave, , , , , , , , 
 ,B-find,B-find.per,O,O,B-find.dest,I-find.dest,O,B-say,B-say.per,O,O, , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , 
41,robot,please,tell,me,which,are,the,three,largest,objects,on,the,storage,table, , , , , 
 ,O,O,B-say,B-say.per,O,O,O,O,O,O,O,O,B-say.dest,I-say.dest, , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , 
42,find,charlie,at,the,rear,entrance,and,introduce,her,to,everyone,in,the,corridor, , , , , 
 ,B-find,B-find.per,O,O,O,B-find.dest,O,B-say,B-say.per,O,O,O,O,B-say.dest, , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , 
43,please,greet,john,at,the,front,entrance,and,introduce,him,to,everyone,in,the,bedroom, , , , 
 ,O,B-find,B-find.per,O,O,O,B-find.dest,O,B-say,B-say.per,O,O,O,O,B-say.dest, , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , 
44,tell,me,the,name,of,the,person,in,the,living,room, , , , , , , , 
 ,B-say,B-say.per,O,O,O,O,B-say.per,O,O,B-say.dest,I-say.dest, , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , 
45,tell,me,what,s,the,heaviest,object,on,the,bookcase, , , , , , , , , 
 ,B-say,B-say.per,O,O,O,O,O,O,O,B-say.dest, , , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , , 
46,tell,me,what,s,the,heaviest,tableware,on,the,storage,table, , , , , , , , 
 ,B-say,B-say.per,O,O,O,O,B-say.obj,O,O,B-say.dest,I-say.dest, , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , 
47,tell,me,the,pose,of,the,person,at,the,bookcase, , , , , , , , , 
 ,B-say,B-say.per,O,O,O,O,B-say.per,O,O,B-say.dest, , , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , , 
48,go,to,the,dining,room,locate,a,person,standing,and,tell,a,joke, , , , , , 
 ,B-go,O,O,B-go.dest,I-go.dest,B-find,O,B-find.per,O,O,B-say,O,O, , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , 
49,could,you,contact,elizabeth,at,the,rear,entrance,and,introduce,her,to,everyone,in,the,bedroom, , , 
 ,O,O,B-find,B-find.per,O,O,O,B-find.dest,O,B-say,B-say.per,O,O,O,O,B-say.dest, , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , 
50,tell,me,what,s,the,thinnest,cutlery,on,the,side,table, , , , , , , , 
 ,B-say,B-say.per,O,O,O,O,B-say.obj,O,O,B-say.dest,I-say.dest, , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , 
51,tell,me,the,gender,of,the,person,at,the,end,table, , , , , , , , 
 ,B-say,B-say.per,O,O,O,O,B-say.per,O,O,B-say.dest,I-say.dest, , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , 
52,find,a,woman,in,the,kitchen,and,tell,a,joke, , , , , , , , , 
 ,B-find,O,O,O,O,B-find.dest,O,B-say,O,O, , , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , , 
53,please,find,francis,at,the,desk,and,ask,him,to,leave, , , , , , , , 
 ,O,B-find,B-find.per,O,O,B-find.dest,O,B-say,B-say.per,O,O, , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , 
54,could,you,contact,mary,at,the,desk,and,introduce,it,to,charlie,at,the,desk, , , , 
 ,O,O,B-find,B-find.per,O,O,B-find.dest,O,B-say,B-say.obj,O,B-say.per,O,O,B-say.dest, , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , 
55,contact,patricia,at,the,front,entrance,and,introduce,her,to,all,the,elders,in,the,bedroom, , , 
 ,B-find,B-find.per,O,O,O,B-find.dest,O,B-say,B-say.per,O,O,O,B-say.per,O,O,B-say.dest, , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , 
56,could,you,please,tell,me,the,name,of,the,person,at,the,bed, , , , , , 
 ,O,O,O,B-say,B-say.per,O,O,O,O,B-say.per,O,O,B-say.dest, , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , 
57,find,a,person,waving,in,the,bedroom,and,say,something,about,yourself, , , , , , , 
 ,B-find,O,B-find.per,O,O,O,B-find.dest,O,B-say,O,O,O, , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , 
58,could,you,tell,me,the,pose,of,the,person,at,the,bed, , , , , , , 
 ,O,O,B-say,B-say.per,O,O,O,O,B-say.per,O,O,B-say.dest, , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , 
59,face,michael,at,the,dishwasher,and,ask,him,to,leave, , , , , , , , , 
 ,B-find,B-find.per,O,O,B-find.dest,O,B-say,B-say.per,O,O, , , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , , 
60,tell,me,how,many,containers,there,are,on,the,end,table, , , , , , , , 
 ,B-say,B-say.per,O,O,B-say.obj,O,O,O,O,B-say.dest,I-say.dest, , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , 
61,robot,please,go,to,the,bedroom,find,a,person,lying,down,and,say,what,day,is,tomorrow, , 
 ,O,O,B-go,O,O,B-go.dest,B-find,O,B-find.per,O,O,O,B-say,O,O,O,O, , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , 
62,tell,me,the,name,of,the,person,in,the,bedroom, , , , , , , , , 
 ,B-say,B-say.per,O,O,O,O,B-say.per,O,O,B-say.dest, , , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , , 
63,tell,me,the,pose,of,the,person,in,the,bedroom, , , , , , , , , 
 ,B-say,B-say.per,O,O,O,O,B-say.per,O,O,B-say.dest, , , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , , 
64,contact,patricia,at,the,couch,and,ask,her,to,leave, , , , , , , , , 
 ,B-find,B-find.per,O,O,B-find.dest,O,B-say,B-say.per,O,O, , , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , , 
65,find,alex,at,the,end,table,and,introduce,it,to,james,at,the,dining,table, , , , 
 ,B-find,B-find.per,O,O,B-find.dest,I-find.dest,O,B-say,B-say.obj,O,B-say.per,O,O,B-say.dest,I-say.dest, , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , 
66,find,a,person,lying,down,in,the,corridor,and,answer,a,question, , , , , , , 
 ,B-find,O,B-find.per,O,O,O,O,B-find.dest,O,B-say,O,O, , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , 
67,could,you,please,tell,me,how,many,fruits,there,are,on,the,counter, , , , , , 
 ,O,O,O,B-say,B-say.per,O,O,B-say.obj,O,O,O,O,B-say.dest, , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , 
68,could,you,answer,a,question,to,the,person,raising,their,right,arm,in,the,dining,room, , , 
 ,O,O,B-say,O,O,O,O,B-say.per,O,O,O,O,O,O,B-say.dest,I-say.dest, , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , 
69,tell,me,which,are,the,three,biggest,snacks,on,the,counter, , , , , , , , 
 ,B-say,B-say.per,O,O,O,O,O,B-say.obj,O,O,B-say.dest, , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , 
70,tell,me,the,name,of,the,person,in,the,kitchen, , , , , , , , , 
 ,B-say,B-say.per,O,O,O,O,B-say.per,O,O,B-say.dest, , , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , , 
71,tell,me,what,s,the,smallest,object,on,the,cupboard, , , , , , , , , 
 ,B-say,B-say.per,O,O,O,O,O,O,O,B-say.dest, , , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , , 
72,tell,me,how,many,fruits,there,are,on,the,bookcase, , , , , , , , , 
 ,B-say,B-say.per,O,O,B-say.obj,O,O,O,O,B-say.dest, , , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , , 
73,tell,me,the,pose,of,the,person,at,the,end,table, , , , , , , , 
 ,B-say,B-say.per,O,O,O,O,B-say.per,O,O,B-say.dest,I-say.dest, , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , 
74,go,to,the,corridor,locate,a,boy,and,answer,a,question, , , , , , , , 
 ,B-go,O,O,B-go.dest,B-find,O,B-find.per,O,B-say,O,O, , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , 
75,greet,francis,at,the,dishwasher,and,ask,her,to,leave, , , , , , , , , 
 ,B-find,B-find.per,O,O,B-find.dest,O,B-say,B-say.per,O,O, , , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , , 
76,could,you,face,patricia,at,the,dining,table,and,introduce,it,to,francis,at,the,bookcase, , , 
 ,O,O,B-find,B-find.per,O,O,B-find.dest,I-find.dest,O,B-say,B-say.obj,O,B-say.per,O,O,B-say.dest, , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , 
77,tell,me,how,many,bowl,there,are,on,the,bookcase, , , , , , , , , 
 ,B-say,B-say.per,O,O,B-say.obj,O,O,O,O,B-say.dest, , , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , , 
78,could,you,please,tell,me,the,name,of,the,person,in,the,dining,room, , , , , 
 ,O,O,O,B-say,B-say.per,O,O,O,O,B-say.per,O,O,B-say.dest,I-say.dest, , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , 
79,tell,me,what,s,the,smallest,fruits,on,the,dining,table, , , , , , , , 
 ,B-say,B-say.per,O,O,O,O,B-say.obj,O,O,B-say.dest,I-say.dest, , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , 
80,face,francis,at,the,front,entrance,and,introduce,her,to,all,the,men,in,the,corridor, , , 
 ,B-find,B-find.per,O,O,O,B-find.dest,O,B-say,B-say.per,O,O,O,O,O,O,B-say.dest, , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , 
81,robot,please,contact,alex,at,the,bookcase,and,introduce,it,to,james,at,the,dishwasher, , , , 
 ,O,O,B-find,B-find.per,O,O,B-find.dest,O,B-say,B-say.obj,O,B-say.per,O,O,B-say.dest, , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , 
82,face,michael,at,the,entrance,and,introduce,it,to,james,at,the,dishwasher, , , , , , 
 ,B-find,B-find.per,O,O,B-find.dest,O,B-say,B-say.obj,O,B-say.per,O,O,B-say.dest, , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , 
83,tell,me,what,s,the,lightest,object,on,the,sink, , , , , , , , , 
 ,B-say,B-say.per,O,O,O,O,O,O,O,B-say.dest, , , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , , 
84,could,you,tell,me,the,pose,of,the,person,in,the,dining,room, , , , , , 
 ,O,O,B-say,B-say.per,O,O,O,O,B-say.per,O,O,B-say.dest,I-say.dest, , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , 
85,tell,me,what,s,the,thinnest,object,on,the,side,table, , , , , , , , 
 ,B-say,B-say.per,O,O,O,O,O,O,O,B-say.dest,I-say.dest, , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , 
86,greet,skyler,at,the,end,table,and,ask,him,to,leave, , , , , , , , 
 ,B-find,B-find.per,O,O,B-find.dest,I-find.dest,O,B-say,B-say.per,O,O, , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , 
87,could,you,go,to,the,corridor,locate,a,person,pointing,to,the,left,and,answer,a,question, , 
 ,O,O,B-go,O,O,B-go.dest,B-find,O,B-find.per,O,O,O,O,O,B-say,O,O, , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , 
88,tell,me,the,gender,of,the,person,at,the,dining,table, , , , , , , , 
 ,B-say,B-say.per,O,O,O,O,B-say.per,O,O,B-say.dest,I-say.dest, , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , 
89,tell,me,how,many,cleaning,stuff,there,are,on,the,desk, , , , , , , , 
